car_id,car_link,price
33657263,/auto_audi_q7_33657263.html,55 400 $
34552107,/auto_volkswagen_passat_alltrack_34552107.html,25 300 $
34529178,/auto_volkswagen_passat_alltrack_34529178.html,24 300 $
34434888,/auto_mercedes_benz_e_class_34434888.html,37 800 $
34557944,/auto_skoda_karoq_34557944.html,36 999 $
34560849,/auto_mercedes_benz_e_class_34560849.html,42 000 $
34155575,/auto_volkswagen_passat_34155575.html,2 300 $
34568259,/auto_mercedes_benz_e_class_34568259.html,37 000 $
34365869,/auto_audi_q7_34365869.html,37 500 $
34559660,/auto_audi_q7_34559660.html,42 000 $
34554680,/auto_skoda_octavia_34554680.html,15 000 $
34542522,/auto_skoda_octavia_34542522.html,24 299 $
34537520,/auto_skoda_octavia_34537520.html,21 350 $
34554142,/auto_bmw_x5_34554142.html,19 800 $
34562376,/auto_skoda_octavia_34562376.html,23 499 $
34512780,/auto_bmw_5_series_34512780.html,53 000 $
34566981,/auto_skoda_octavia_34566981.html,11 999 $
34265099,/auto_audi_q7_34265099.html,37 000 $
34451044,/auto_toyota_land_cruiser_34451044.html,24 000 $
34418192,/auto_mitsubishi_outlander_34418192.html,24 800 $
34543050,/auto_toyota_land_cruiser_34543050.html,62 500 $
34305281,/auto_volkswagen_tiguan_34305281.html,12 200 $
34298638,/auto_volkswagen_passat_alltrack_34298638.html,28 500 $
34423301,/auto_audi_a6_34423301.html,22 400 $
34534319,/auto_audi_a6_34534319.html,8 000 $
33868831,/auto_tesla_model_3_33868831.html,47 000 $
34569141,/auto_volkswagen_id_4_crozz_34569141.html,33 500 $
1887534,/newauto/auto-mitsubishi-outlander-1887534.html, 1 124 750 грн      
33278785,/auto_volkswagen_touareg_33278785.html,32 000 $
33701091,/auto_tesla_model_3_33701091.html,35 890 $
34565809,/auto_bmw_x5_34565809.html,47 000 $
34557633,/auto_volkswagen_id_4_crozz_34557633.html,36 180 $
34239861,/auto_bmw_x5_34239861.html,30 000 $
34190557,/auto_volkswagen_touareg_34190557.html,53 000 $
34541367,/auto_volkswagen_id_4_crozz_34541367.html,31 730 $
34535351,/auto_volkswagen_id_4_crozz_34535351.html,33 500 $
33851993,/auto_tesla_model_3_33851993.html,34 999 $
34464777,/auto_audi_a4_34464777.html,15 499 $
34544874,/auto_volkswagen_id_4_crozz_34544874.html,37 600 $
34541310,/auto_volkswagen_id_4_crozz_34541310.html,31 730 $
34491561,/auto_volkswagen_id_4_crozz_34491561.html,36 200 $
34481396,/auto_volkswagen_id_4_crozz_34481396.html,31 750 $
34569288,/auto_bmw_m5_34569288.html,185 000 $
34566593,/auto_volkswagen_touareg_34566593.html,55 500 $
34557776,/auto_volkswagen_id_4_crozz_34557776.html,31 730 $
34537270,/auto_tesla_model_3_34537270.html,38 800 $
34497323,/auto_volkswagen_id_4_crozz_34497323.html,34 500 $
34451893,/auto_volkswagen_id_4_crozz_34451893.html,31 750 $
34545545,/auto_volkswagen_id_4_crozz_34545545.html,36 190 $
